Battle of Jemappes,1792.0,50°27′21″N,3°53′19″E,France,Holy Roman Empire
Battle of Savra,1385.0,NaN,NaN,Pakrac clash,Principality of Zeta
Battle of Pavan Khind,1660.0,NaN,NaN,Maratha Army,Bijapur Sultanate
Battle of Marston Moor,1644.0,53°57′44″N,1°15′15″W,Parliamentarians,Royalists
Battle of the Caucasus,1944.0,NaN,NaN,Germany,Soviet Union
Battle of Lützen (1813),1813.0,51°13′00″N,12°11′00″E,Kingdom of Italy,Prussia
Battle of Colachel,1741.0,8°10′N,77°14′E,Travancore,Dutch Empire
Battle of Inkerman,1854.0,44°35′06″N,33°35′31″E,United Kingdom,Russia
Battle of al-Qusayr (2012),2012.0,NaN,NaN,Russian-Turkish agreement on Syria,Syrian Arab Republic
Battle of Laon,1814.0,49°33′57″N,3°37′14″E,France,Prussia
Battle of Adrianople,378.0,41°49′N,26°30′E,Goths,Eastern Roman Empire
Battle of Bailén,1808.0,38°06′N,3°48′W,France,Spain
Battle of Britain,,NaN,NaN,Harry Andrews,
Battle of Luzon,1945.0,NaN,NaN,Australia,Japan
Battle of Idlib (2015),2015.0,NaN,NaN,Army of Conquest,Syrian Arab Republic
Battle of Tipo-Tipo,2016.0,NaN,NaN,Philippines,Abu Sayyaf
Battle of Antonov Airport,2022.0,50°35′27″N,30°12′27″E,Russia,Ukraine
Battle of Zadar,1991.0,NaN,NaN,Yugoslavia,Croatia
Battle of Kupres (1992),1992.0,NaN,NaN,Yugoslav People's Army,Herzeg-Bosnia
Battle of the St. Lawrence,1944.0,NaN,NaN,Canada,Germany
Battle of Bicocca,1522.0,45°31′05″N,9°12′36″E,France,Holy Roman Empire
Battle of Poitiers,1356.0,46°32′N,0°23′E,England,France
Battle of Harem,2012.0,NaN,NaN,Syrian Arab Republic,National Coalition
Battle of the Miljevci Plateau,1992.0,NaN,NaN,Croatia,Republic of Serbian Krajina
Battle of Cape Lopez,1722.0,NaN,NaN,Great Britain,Pirates
Third Battle of Gaza,1917.0,NaN,NaN,France,Ottoman Empire
Battle of Kamdesh,2009.0,35°25′23″N,71°19′44″E,United States,Taliban
Battle of Sievierodonetsk (2022),2022.0,NaN,NaN,Russia,Ukraine
Battle of Smolensk (1812),1812.0,54°46′N,32°02′E,French Empire,Russian Empire
Battle of Messines (1917),1917.0,50°45′45″N,02°53′43″E,Capture of Baghdad,Germany
Battle of Prilep,1912.0,41°20′40.00″N,21°33′10.00″E,Kingdom of Serbia,Ottoman Empire
Battle of Tétouan,1860.0,35°34′25.514″N,5°19′49.548″W,Spain,Morocco
Battle of Novšiće,1879.0,42°38′25″N,19°56′23″E,Pakrac clash,League of Prizren
Battle of forts Jackson and St. Philip,1862.0,29°21′27″N,89°27′36″W,United States,CSA (Confederacy)
Battle of St Quentin Canal,1918.0,49°57′42″N,03°14′12″E,United States,Germany
Battle of Chacabuco,1817.0,32°59′35″S,70°41′02″W,United Provinces,Spanish 
